,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist,song_name,cluster
73,0.558,0.719,2,-5.113,1,0.0267,0.0367,0.0,0.115,0.371,112.027,The Calling,Wherever You Will Go,0
74,0.651,0.801,0,-7.34,1,0.0514,0.123,0.0,0.0825,0.776,133.769,The Calling,London Calling - Remastered,1
75,0.762,0.722,2,-8.712,1,0.0428,0.0922,0.000368,0.132,0.966,122.769,The Calling,Train in Vain (Stand by Me) - Remastered,1
76,0.608,0.634,4,-11.24,1,0.0727,0.0568,0.00615,0.116,0.84,147.515,The Calling,Lost in the Supermarket - Remastered,1
77,0.731,0.515,0,-7.584,1,0.122,0.385,0.00216,0.236,0.448,116.798,The Calling,Calling U Back,1
78,0.52,0.906,9,-6.534,1,0.0601,0.0196,7.99e-05,0.0925,0.868,151.608,The Calling,Brand New Cadillac - Remastered,0
79,0.74,0.613,7,-9.487,1,0.0856,0.00494,0.118,0.095,0.676,96.491,The Calling,The Guns of Brixton - Remastered,1
80,0.672,0.504,11,-8.284,0,0.0322,0.423,0.00885,0.117,0.109,109.998,The Calling,The Calling,4
81,0.654,0.799,0,-6.92,1,0.0501,0.0706,0.0,0.0844,0.755,133.731,The Calling,London Calling,1
82,0.609,0.799,11,-7.902,0,0.0346,0.0458,0.0,0.21,0.77,149.046,The Calling,Spanish Bombs - Remastered,4
83,0.636,0.684,6,-9.37,0,0.0596,0.00312,0.0,0.0402,0.684,96.989,The Calling,Rudie Can't Fail - Remastered,4
84,0.597,0.516,7,-5.437,1,0.0546,0.369,0.0,0.261,0.35,117.959,The Calling,I'm Not Calling You A Liar,1
85,0.676,0.723,2,-7.61,1,0.0931,0.06,8.72e-05,0.317,0.884,145.336,The Calling,Clampdown - Remastered,1
86,0.679,0.842,0,-7.28,1,0.0416,0.0572,0.0,0.15,0.767,137.589,The Calling,Death or Glory - Remastered,1
87,0.436,0.824,2,-6.681,1,0.11,0.00283,0.000183,0.341,0.414,173.098,The Calling,The World Calling,0
88,0.494,0.666,9,-9.743,0,0.0351,0.229,5.69e-05,0.0469,0.699,140.832,The Calling,Heart Full of Soul,4
89,0.677,0.457,7,-13.477,1,0.221,0.836,4.19e-06,0.0984,0.962,118.721,The Calling,Popcorn Calling Me,2
90,0.31,0.686,11,-5.09,0,0.042,0.125,4.14e-06,0.082,0.0967,148.646,The Calling,The Calling (Da Tweekaz Remix),0
91,0.594,0.86,7,-6.723,1,0.0524,0.0119,0.0,0.482,0.672,114.09,The Calling,Hateful - Remastered,5
92,0.438,0.442,5,-10.369,0,0.0358,0.108,0.0,0.111,0.396,110.102,The Calling,My Calling,4
93,0.347,0.638,2,-10.258,1,0.0409,0.236,0.0,0.0894,0.61,94.506,The Calling,For Your Love,1
94,0.623,0.457,1,-8.69,1,0.268,0.135,0.0,0.0956,0.33,94.55,The Calling,Calling Out 2 You (Intro),3
95,0.411,0.831,2,-5.746,1,0.0396,0.0131,0.121,0.105,0.252,174.08,The Calling,Calling You Tonight,0
96,0.528,0.397,9,-12.024,1,0.0926,0.00562,3.64e-06,0.43,0.579,128.475,The Calling,Jimmy Jazz - Remastered,5
97,0.482,0.65,1,-5.309,1,0.03,0.104,0.0,0.125,0.265,89.313,The Calling,Stigmatized,0
98,0.303,0.878,6,-6.732,1,0.0657,0.000669,0.0,0.07,0.78,184.049,The Calling,Adrienne,0
99,0.498,0.851,6,-7.251,0,0.0701,0.00751,2.16e-05,0.218,0.846,137.635,The Calling,I'm Not Down - Remastered,4
100,0.555,0.806,11,-7.534,1,0.0762,0.0611,0.0,0.183,0.832,140.676,The Calling,The Right Profile - Remastered,1
101,0.491,0.734,0,-8.077,1,0.0333,0.0129,0.0,0.726,0.885,148.275,The Calling,Wrong 'Em Boyo - Remastered,5
102,0.366,0.82,9,-5.606,1,0.0709,0.0454,0.000872,0.361,0.265,124.178,The Calling,God Is Calling Me Back Home,0
103,0.496,0.73,7,-8.009,1,0.107,0.0728,0.0,0.379,0.918,162.314,The Calling,Koka Kola - Remastered,0
104,0.487,0.76,0,-7.743,1,0.0489,0.22,6.44e-05,0.0562,0.508,143.404,The Calling,The Card Cheat - Remastered,0
105,0.555,0.697,7,-8.615,1,0.0411,0.0289,4.77e-06,0.0785,0.902,127.303,The Calling,Lover's Rock - Remastered,1
106,0.768,0.744,2,-8.474,1,0.0444,0.111,4.94e-05,0.0863,0.965,122.772,The Calling,Train in Vain (Stand by Me),1
107,0.593,0.908,11,-8.304,0,0.0478,0.00108,0.376,0.369,0.855,145.981,The Calling,Melody Calling,4
108,0.546,0.802,9,-5.771,1,0.0405,0.00457,0.0,0.0996,0.352,118.536,The Calling,Our Lives,0
109,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,Leona Lewis,Bleeding Love,1
110,0.584,0.7,6,-4.251,1,0.0506,0.512,2.43e-05,0.13,0.549,163.953,Leona Lewis,Better in Time,0
111,0.507,0.448,8,-5.166,1,0.0281,0.694,0.0,0.114,0.123,119.934,Leona Lewis,Footprints in the Sand,2
112,0.638,0.813,11,-3.849,1,0.0362,0.464,0.0,0.344,0.754,112.986,Leona Lewis,One More Sleep,1
113,0.685,0.79,8,-6.148,1,0.0285,0.0078,1.71e-05,0.0668,0.953,110.98,Leona Lewis,Walking on Sunshine,1
