,artist,song_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
1519,Avril Lavigne,Keep Holding On,spotify:track:4UPcXTh26ilb7owtuyHqNI,0.162,0.786,7,-2.353,1,0.038,0.0374,0.0,0.143,0.138,161.192,audio_features,4UPcXTh26ilb7owtuyHqNI,https://api.spotify.com/v1/tracks/4UPcXTh26ilb7owtuyHqNI,https://api.spotify.com/v1/audio-analysis/4UPcXTh26ilb7owtuyHqNI,239907,3
1520,Avril Lavigne,When You're Gone,spotify:track:54JKnDB3CzVu8wNAOM27BI,0.457,0.719,4,-3.921,0,0.0323,0.191,0.0,0.228,0.168,142.034,audio_features,54JKnDB3CzVu8wNAOM27BI,https://api.spotify.com/v1/tracks/54JKnDB3CzVu8wNAOM27BI,https://api.spotify.com/v1/audio-analysis/54JKnDB3CzVu8wNAOM27BI,240493,4
1521,Avril Lavigne,Hello Kitty,spotify:track:5eo5uGyM4q70CLU3LZphfu,0.753,0.79,6,-6.783,0,0.0861,0.00184,9.69e-05,0.648,0.588,127.991,audio_features,5eo5uGyM4q70CLU3LZphfu,https://api.spotify.com/v1/tracks/5eo5uGyM4q70CLU3LZphfu,https://api.spotify.com/v1/audio-analysis/5eo5uGyM4q70CLU3LZphfu,196253,4
1522,Avril Lavigne,Bois Lie,spotify:track:2anCCRWTIOEdfvkHLWglz9,0.541,0.855,6,-4.578,1,0.0668,0.00164,0.0,0.145,0.739,143.967,audio_features,2anCCRWTIOEdfvkHLWglz9,https://api.spotify.com/v1/tracks/2anCCRWTIOEdfvkHLWglz9,https://api.spotify.com/v1/audio-analysis/2anCCRWTIOEdfvkHLWglz9,163322,4
1523,Avril Lavigne,Love It When You Hate Me (feat. blackbear),spotify:track:6m0Dk7Cm7rWQLzCjeYIiIt,0.611,0.803,5,-4.368,1,0.0394,0.00437,1.41e-06,0.604,0.624,92.497,audio_features,6m0Dk7Cm7rWQLzCjeYIiIt,https://api.spotify.com/v1/tracks/6m0Dk7Cm7rWQLzCjeYIiIt,https://api.spotify.com/v1/audio-analysis/6m0Dk7Cm7rWQLzCjeYIiIt,145103,4
1524,Avril Lavigne,Bois Lie (feat. Machine Gun Kelly),spotify:track:2lHktSigIAZqf7BkA7NRS7,0.541,0.855,6,-4.578,1,0.0668,0.00164,0.0,0.145,0.739,143.967,audio_features,2lHktSigIAZqf7BkA7NRS7,https://api.spotify.com/v1/tracks/2lHktSigIAZqf7BkA7NRS7,https://api.spotify.com/v1/audio-analysis/2lHktSigIAZqf7BkA7NRS7,163322,4
1525,Avril Lavigne,Wish You Were Here,spotify:track:5XHf9PBxxHmJFuiDkGNIOA,0.454,0.865,4,-3.841,1,0.0561,0.0323,0.0,0.186,0.34,166.018,audio_features,5XHf9PBxxHmJFuiDkGNIOA,https://api.spotify.com/v1/tracks/5XHf9PBxxHmJFuiDkGNIOA,https://api.spotify.com/v1/audio-analysis/5XHf9PBxxHmJFuiDkGNIOA,225760,4
1526,Avril Lavigne,Smile,spotify:track:4bia7OWZPoswlzXCqESYrR,0.634,0.848,1,-3.843,0,0.047,0.00237,0.0,0.0681,0.647,105.055,audio_features,4bia7OWZPoswlzXCqESYrR,https://api.spotify.com/v1/tracks/4bia7OWZPoswlzXCqESYrR,https://api.spotify.com/v1/audio-analysis/4bia7OWZPoswlzXCqESYrR,209520,4
1527,Avril Lavigne,Nobody's Home,spotify:track:0cZDC7uxNK8lqQ3GgyvCnD,0.348,0.907,5,-3.66,0,0.0497,0.000516,0.0,0.161,0.177,185.406,audio_features,0cZDC7uxNK8lqQ3GgyvCnD,https://api.spotify.com/v1/tracks/0cZDC7uxNK8lqQ3GgyvCnD,https://api.spotify.com/v1/audio-analysis/0cZDC7uxNK8lqQ3GgyvCnD,212413,4
1528,Avril Lavigne,Losing Grip,spotify:track:2LA4v20vokK9Uaj7WEEMaf,0.534,0.888,8,-4.667,0,0.0972,0.00128,6.15e-06,0.0772,0.582,158.368,audio_features,2LA4v20vokK9Uaj7WEEMaf,https://api.spotify.com/v1/tracks/2LA4v20vokK9Uaj7WEEMaf,https://api.spotify.com/v1/audio-analysis/2LA4v20vokK9Uaj7WEEMaf,233760,4
1529,Avril Lavigne,Hot,spotify:track:6z7fZRrQfOH3ZjWEkC4QhC,0.6,0.938,8,-3.806,1,0.0821,0.0173,0.0,0.355,0.469,144.951,audio_features,6z7fZRrQfOH3ZjWEkC4QhC,https://api.spotify.com/v1/tracks/6z7fZRrQfOH3ZjWEkC4QhC,https://api.spotify.com/v1/audio-analysis/6z7fZRrQfOH3ZjWEkC4QhC,202973,4
1530,Avril Lavigne,I’m a Mess (with YUNGBLUD),spotify:track:1yvArCvZLTHiawRdWKSAWj,0.467,0.667,1,-4.386,1,0.0315,0.007,0.0,0.155,0.399,91.057,audio_features,1yvArCvZLTHiawRdWKSAWj,https://api.spotify.com/v1/tracks/1yvArCvZLTHiawRdWKSAWj,https://api.spotify.com/v1/audio-analysis/1yvArCvZLTHiawRdWKSAWj,187794,4
1531,Avril Lavigne,Breakaway,spotify:track:74kqTZLnGoPtCwGecA37Xi,0.346,0.741,0,-5.578,1,0.0365,0.0035,2.91e-06,0.347,0.359,168.902,audio_features,74kqTZLnGoPtCwGecA37Xi,https://api.spotify.com/v1/tracks/74kqTZLnGoPtCwGecA37Xi,https://api.spotify.com/v1/audio-analysis/74kqTZLnGoPtCwGecA37Xi,223718,3
